pokemon,normalized_name,image_path_or_url,source
Bulbasaur,bulbasaur,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,df_pokemon.image_url
Ivysaur,ivysaur,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,df_pokemon.image_url
Venusaur,venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,df_pokemon.image_url
Mega Venusaur,mega venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,df_pokemon.image_url
Venusaur Gigantamax,venusaur gigantamax,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,df_pokemon.image_url
Charmander,charmander,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,df_pokemon.image_url
Charmeleon,charmeleon,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,df_pokemon.image_url
Mega Charizard Y,mega charizard y,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,df_pokemon.image_url
Charizard Gigantamax,charizard gigantamax,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,df_pokemon.image_url
Mega Charizard X,mega charizard x,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,df_pokemon.image_url
Charizard,charizard,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,df_pokemon.image_url
Squirtle,squirtle,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,df_pokemon.image_url
Wartortle,wartortle,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,df_pokemon.image_url
Blastoise Gigantamax,blastoise gigantamax,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,df_pokemon.image_url
Blastoise,blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,df_pokemon.image_url
Mega Blastoise,mega blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,df_pokemon.image_url
Caterpie,caterpie,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,df_pokemon.image_url
Metapod,metapod,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,df_pokemon.image_url
Butterfree Gigantamax,butterfree gigantamax,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,df_pokemon.image_url
Butterfree,butterfree,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,df_pokemon.image_url
Weedle,weedle,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,df_pokemon.image_url
Kakuna,kakuna,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,df_pokemon.image_url
Beedrill,beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,df_pokemon.image_url
Mega Beedrill,mega beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,df_pokemon.image_url
Pidgey,pidgey,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,df_pokemon.image_url
Pidgeotto,pidgeotto,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,df_pokemon.image_url
Pidgeot,pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,df_pokemon.image_url
Mega Pidgeot,mega pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,df_pokemon.image_url
Rattata,rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,df_pokemon.image_url
Alolan Rattata,alolan rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,df_pokemon.image_url
Raticate,raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,df_pokemon.image_url
Alolan Raticate,alolan raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,df_pokemon.image_url
Spearow,spearow,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,df_pokemon.image_url
Fearow,fearow,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,df_pokemon.image_url
Ekans,ekans,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,df_pokemon.image_url
Arbok,arbok,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,df_pokemon.image_url
Pikachu Gigantamax,pikachu gigantamax,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,df_pokemon.image_url
Pikachu,pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,df_pokemon.image_url
Partner Pikachu,partner pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,df_pokemon.image_url
Alolan Raichu,alolan raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,df_pokemon.image_url
Raichu,raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,df_pokemon.image_url
Alolan Sandshrew,alolan sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,df_pokemon.image_url
Sandshrew,sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,df_pokemon.image_url
Sandslash,sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,df_pokemon.image_url
Alolan Sandslash,alolan sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,df_pokemon.image_url
Nidoran♀,nidoran female,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,df_pokemon.image_url
Nidorina,nidorina,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,df_pokemon.image_url
Nidoqueen,nidoqueen,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,df_pokemon.image_url
Nidoran♂,nidoran male,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,df_pokemon.image_url
Nidorino,nidorino,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,df_pokemon.image_url
Nidoking,nidoking,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,df_pokemon.image_url
Clefairy,clefairy,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,df_pokemon.image_url
Clefable,clefable,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,df_pokemon.image_url
Vulpix,vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,df_pokemon.image_url
Alolan Vulpix,alolan vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,df_pokemon.image_url
Ninetales,ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,df_pokemon.image_url
Alolan Ninetales,alolan ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,df_pokemon.image_url
Jigglypuff,jigglypuff,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,df_pokemon.image_url
Wigglytuff,wigglytuff,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,df_pokemon.image_url
Zubat,zubat,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,df_pokemon.image_url
Golbat,golbat,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,df_pokemon.image_url
Oddish,oddish,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,df_pokemon.image_url
Gloom,gloom,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,df_pokemon.image_url
Vileplume,vileplume,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,df_pokemon.image_url
Paras,paras,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,df_pokemon.image_url
Parasect,parasect,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,df_pokemon.image_url
Venonat,venonat,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,df_pokemon.image_url
Venomoth,venomoth,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,df_pokemon.image_url
Alolan Diglett,alolan diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,df_pokemon.image_url
Diglett,diglett,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,df_pokemon.image_url
Alolan Dugtrio,alolan dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,df_pokemon.image_url
Dugtrio,dugtrio,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,df_pokemon.image_url
Meowth,meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,df_pokemon.image_url
Alolan Meowth,alolan meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,df_pokemon.image_url
Galarian Meowth,galarian meowth,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,df_pokemon.image_url
Meowth Gigantamax,meowth gigantamax,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,df_pokemon.image_url
Persian,persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,df_pokemon.image_url
Alolan Persian,alolan persian,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,df_pokemon.image_url
Psyduck,psyduck,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,df_pokemon.image_url
Golduck,golduck,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,df_pokemon.image_url
Mankey,mankey,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,df_pokemon.image_url
Primeape,primeape,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,df_pokemon.image_url
Hisuian Growlithe,hisuian growlithe,https://img.pokemondb.net/s.png,df_pokemon.image_url
Growlithe,growlithe,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,df_pokemon.image_url
Hisuian Arcanine,hisuian arcanine,https://img.pokemondb.net/s.png,df_pokemon.image_url
Arcanine,arcanine,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,df_pokemon.image_url
Poliwag,poliwag,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,df_pokemon.image_url
Poliwhirl,poliwhirl,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,df_pokemon.image_url
