source,target,co_usage_percent,source_usage_percent,target_usage_percent
Gourgeist Large Size,Whimsicott,99.986,,17.0
Gourgeist Large Size,Togekiss,99.986,,1.0
Gourgeist Large Size,Terrakion,99.986,,0.0
Gourgeist Large Size,Dragapult,99.986,,1.0
Gourgeist Large Size,Arcanine,99.986,,0.0
Mime Jr.,Mimikyu,99.946,,2.0
Mime Jr.,Shuckle,99.827,,0.0
Mime Jr.,Chansey,99.827,,0.0
Mime Jr.,Dragapult,99.789,,1.0
Mime Jr.,Indeedee Female,99.48,,18.0
Wishiwashi Solo Form,Incineroar,98.945,0.0,59.0
Mr. Rime,Thundurus Incarnate Forme,97.498,0.0,21.0
Mr. Rime,Groudon,97.498,0.0,23.0
Mr. Rime,Centiskorch,97.288,0.0,0.0
Mr. Rime,Gastrodon,97.288,0.0,20.0
Mr. Rime,Zamazenta Crowned Shield,97.288,0.0,0.0
Wishiwashi Solo Form,Calyrex Ice Rider,97.137,0.0,11.0
Greedent,Indeedee Female,95.616,0.0,18.0
Arctovish,Dusclops,95.465,,4.0
Greedent,Zacian Crowned Sword,95.452,0.0,65.0
Corsola,Dusclops,94.336,,4.0
Palossand,Accelgor,94.24,0.0,0.0
Drifblim,Kyogre,94.128,0.0,35.0
Drifblim,Incineroar,93.443,0.0,59.0
Toxicroak,Kyogre,93.443,0.0,35.0
Wishiwashi Solo Form,Indeedee Female,93.042,0.0,18.0
Shuckle,Chansey,93.034,0.0,0.0
Wishiwashi Solo Form,Dusclops,93.029,0.0,4.0
Wishiwashi Solo Form,Zacian Crowned Sword,93.029,0.0,65.0
Diggersby,Zacian Crowned Sword,92.159,0.0,65.0
Arctovish,Togekiss,92.068,,1.0
Arctovish,Hitmontop,92.001,,0.0
Arctovish,Cinderace,92.0,,1.0
Arctovish,Bisharp,92.0,,0.0
Drifblim,Indeedee Female,91.312,0.0,18.0
Seismitoad,Kyogre,91.167,1.0,35.0
Boltund,Zacian Crowned Sword,91.058,0.0,65.0
Galarian Weezing,Calyrex Shadow Rider,90.946,0.0,22.0
Druddigon,Arcanine,90.553,,0.0
Druddigon,Gyarados,89.964,,0.0
Torracat,Tyranitar,89.781,,0.0
Drifblim,Porygon2,89.65,0.0,9.0
Drifblim,Calyrex Ice Rider,89.638,0.0,11.0
Charjabug,Primarina,89.477,,0.0
Eldegoss,Malamar,89.124,,
Corsola,Togekiss,88.996,,1.0
Drednaw,Kyogre,88.723,0.0,35.0
Gourgeist Super Size,Togekiss,88.655,,1.0
Corsola,Incineroar,88.447,,59.0
Fan Rotom,Rillaboom,88.324,,27.0
