pokemon,category,name,usage_percent
Abomasnow,ability,Snow Warning,99.999
Abomasnow,ability,Soundproof,0.001
Abomasnow,item,Assault Vest,53.551
Abomasnow,item,Light Clay,25.977
Abomasnow,item,Focus Sash,19.537
Abomasnow,move,Blizzard,74.712
Abomasnow,move,Ice Shard,56.567
Abomasnow,move,Aurora Veil,45.985
Abomasnow,move,Earth Power,39.411
Accelgor,ability,Unburden,70.479
Accelgor,ability,Sticky Hold,23.132
Accelgor,item,Focus Sash,80.752
Accelgor,item,Leftovers,6.055
Accelgor,item,Other,4.708
Accelgor,move,Water Shuriken,80.733
Accelgor,move,Yawn,67.568
Accelgor,move,Protect,64.083
Accelgor,move,Encore,51.536
Aegislash Shield Forme,ability,Stance Change,100.0
Aegislash Shield Forme,item,Leftovers,30.836
Aegislash Shield Forme,item,Life Orb,28.889
Aegislash Shield Forme,item,Iron Ball,15.587
Aegislash Shield Forme,move,Kings Shield,98.243
Aegislash Shield Forme,move,Shadow Sneak,67.253
Aegislash Shield Forme,move,Shadow Ball,61.221
Aegislash Shield Forme,move,Flash Cannon,57.482
Aerodactyl,ability,Unnerve,74.095
Aerodactyl,ability,Rock Head,14.632
Aerodactyl,item,Focus Sash,81.442
Aerodactyl,item,Life Orb,8.68
Aerodactyl,item,Choice Scarf,4.43
Aerodactyl,move,Rock Slide,90.163
Aerodactyl,move,Tailwind,87.621
Aerodactyl,move,Wide Guard,85.889
Aerodactyl,move,Dual Wingbeat,78.699
Alakazam,ability,Magic Guard,81.76
Alakazam,ability,Inner Focus,14.202
Alakazam,item,Life Orb,44.445
Alakazam,item,Focus Sash,36.549
Alakazam,item,Choice Specs,9.725
Alakazam,move,Expanding Force,99.281
Alakazam,move,Dazzling Gleam,75.536
Alakazam,move,Protect,53.21
Alakazam,move,Trick Room,31.882
Alcremie,ability,Aroma Veil,70.927
Alcremie,ability,Sweet Veil,29.073
Alcremie,item,Leftovers,68.167
Alcremie,item,Focus Sash,19.467
Alcremie,item,Sitrus Berry,6.415
Alcremie,move,Recover,74.765
Alcremie,move,Calm Mind,67.626
Alcremie,move,Acid Armor,66.589
Alcremie,move,Stored Power,66.412
Alolan Exeggutor,ability,Frisk,58.873
Alolan Exeggutor,ability,Harvest,41.127
Alolan Exeggutor,item,Sitrus Berry,73.617
Alolan Exeggutor,item,Psychic Seed,9.849
Alolan Exeggutor,item,Yache Berry,7.878
Alolan Exeggutor,move,Trick Room,99.562
Alolan Exeggutor,move,Sleep Powder,83.252
Alolan Exeggutor,move,Grass Knot,43.084
Alolan Exeggutor,move,Brutal Swing,38.672
Alolan Marowak,ability,Lightning Rod,82.874
Alolan Marowak,ability,Rock Head,10.217
Alolan Marowak,item,Thick Club,99.938
Alolan Marowak,item,Other,0.062
Alolan Marowak,move,Flare Blitz,99.748
Alolan Marowak,move,Protect,61.602
Alolan Marowak,move,Shadow Bone,58.438
Alolan Marowak,move,Bonemerang,52.538
Alolan Ninetales,ability,Snow Warning,99.852
Alolan Ninetales,ability,Snow Cloak,0.148
Alolan Ninetales,item,Focus Sash,40.959
Alolan Ninetales,item,Light Clay,31.186
Alolan Ninetales,item,Choice Scarf,14.938
Alolan Ninetales,move,Blizzard,75.578
Alolan Ninetales,move,Freeze Dry,70.517
Alolan Ninetales,move,Aurora Veil,67.6
Alolan Ninetales,move,Icy Wind,46.024
Alolan Persian,ability,Fur Coat,98.708
Alolan Persian,ability,Rattled,1.287
Alolan Persian,item,Focus Sash,86.597
Alolan Persian,item,Roseli Berry,6.239
Alolan Persian,item,Other,3.262
Alolan Persian,move,Foul Play,98.558
Alolan Persian,move,Icy Wind,94.652
Alolan Persian,move,Fake Out,94.099
