ID,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank,image_url,missing_base_stats,offensive_score,defensive_score,speed_tier,is_single_type,is_legendary,is_mythical,has_usage_data,is_permitted_vgc2022,stat_specialization,normalized_name
1,Bulbasaur,Bulbasaur,,1,Common,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,False,65.0,159.0,slow,False,False,False,False,True,18.0,bulbasaur
2,Ivysaur,Ivysaur,,1,Common,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,False,80.0,203.0,mid,False,False,False,False,True,18.75,ivysaur
3,Venusaur,Venusaur,,1,Common,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,Permitted,204,7,24,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,False,100.0,263.0,mid,False,False,False,True,True,18.75,venusaur
3,Mega Venusaur,Venusaur,Mega,6,Common,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,False,122.0,323.0,mid,False,False,False,False,False,22.599999999999994,mega venusaur
3,Venusaur Gigantamax,Venusaur,Gigantamax,8,,Grass,Poison,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,True,,,,False,False,False,False,True,,venusaur gigantamax
4,Charmander,Charmander,,1,Common,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,False,60.0,132.0,mid,True,False,False,False,True,16.200000000000003,charmander
5,Charmeleon,Charmeleon,,1,Common,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,False,80.0,181.0,mid,True,False,False,False,True,18.75,charmeleon
6,Mega Charizard Y,Charizard,Mega  Y,6,Common,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,False,159.0,271.0,fast,False,False,False,False,False,64.0,mega charizard y
6,Charizard Gigantamax,Charizard,Gigantamax,8,,Fire,Flying,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,True,,,,False,False,False,False,True,,charizard gigantamax
6,Mega Charizard X,Charizard,Mega  X,6,Common,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,False,130.0,274.0,fast,False,False,False,False,False,36.5,mega charizard x
6,Charizard,Charizard,,1,Common,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,Permitted,344,19,12,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,False,109.0,241.0,fast,False,False,False,True,True,24.0,charizard
7,Squirtle,Squirtle,,1,Common,Water,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,False,50.0,173.0,slow,True,False,False,False,True,15.200000000000003,squirtle
8,Wartortle,Wartortle,,1,Common,Water,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,False,65.0,219.0,mid,True,False,False,False,True,18.75,wartortle
9,Blastoise Gigantamax,Blastoise,Gigantamax,8,,Water,,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,True,,,,True,False,False,False,True,,blastoise gigantamax
9,Blastoise,Blastoise,,1,Common,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,Permitted,98,7,23,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,False,85.0,284.0,mid,True,False,False,True,True,20.0,blastoise
9,Mega Blastoise,Blastoise,Mega,6,Common,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,False,135.0,314.0,mid,True,False,False,False,False,36.0,mega blastoise
10,Caterpie,Caterpie,,1,Common,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,False,30.0,100.0,slow,True,False,False,False,True,18.75,caterpie
11,Metapod,Metapod,,1,Common,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,False,25.0,130.0,slow,True,False,False,False,True,25.0,metapod
12,Butterfree Gigantamax,Butterfree,Gigantamax,8,,Bug,Flying,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,True,,,,False,False,False,False,True,,butterfree gigantamax
12,Butterfree,Butterfree,,1,Common,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,Permitted,16,0,152,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,False,90.0,190.0,mid,False,False,False,True,True,29.0,butterfree
13,Weedle,Weedle,,1,Common,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,False,35.0,90.0,mid,False,False,False,False,False,21.0,weedle
14,Kakuna,Kakuna,,1,Common,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,False,25.0,120.0,slow,False,False,False,False,False,19.0,kakuna
15,Beedrill,Beedrill,,1,Common,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,False,90.0,185.0,mid,False,False,False,False,False,29.0,beedrill
15,Mega Beedrill,Beedrill,Mega,6,Common,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,False,150.0,185.0,elite,False,False,False,False,False,81.0,mega beedrill
16,Pidgey,Pidgey,,1,Common,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,False,45.0,115.0,mid,False,False,False,False,False,17.0,pidgey
17,Pidgeotto,Pidgeotto,,1,Common,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,False,60.0,168.0,mid,False,False,False,False,False,15.399999999999999,pidgeotto
18,Pidgeot,Pidgeot,,1,Common,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,False,80.0,228.0,fast,False,False,False,False,False,25.400000000000006,pidgeot
18,Mega Pidgeot,Pidgeot,Mega,6,Common,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,False,135.0,243.0,elite,False,False,False,False,False,46.2,mega pidgeot
19,Rattata,Rattata,,1,Common,Normal,,253.0,30.0,56.0,35.0,25.0,35.0,72.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,False,56.0,100.0,mid,True,False,False,False,False,35.8,rattata
19,Alolan Rattata,Rattata,Alolan,7,Common,Dark,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,False,56.0,100.0,mid,False,False,False,False,False,35.8,alolan rattata
20,Raticate,Raticate,,1,Common,Normal,,413.0,55.0,81.0,60.0,50.0,70.0,97.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,False,81.0,185.0,fast,True,False,False,False,False,33.8,raticate
20,Alolan Raticate,Raticate,Alolan,7,Common,Dark,Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,False,71.0,225.0,mid,False,False,False,False,False,13.400000000000006,alolan raticate
21,Spearow,Spearow,,1,Common,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,False,60.0,101.0,mid,False,False,False,False,False,31.6,spearow
